subject,head_width_mm,head_height_mm,head_depth_mm
H3,194.935181,247.788260,272.115099
H4,181.814659,237.435989,250.645245
H5,182.754631,234.585766,260.406819
H6,181.458397,242.540627,255.752569
H7,180.902870,230.437481,260.439973
H8,182.376434,234.724838,255.227211
H9,194.919945,228.369432,253.710176
H10,173.031845,204.825529,260.606345
H11,196.849571,228.193527,256.863483
H12,187.512695,238.377394,262.964391
H13,180.413628,253.191833,255.624876
H14,171.377296,226.540844,249.704929
H15,171.387733,240.515299,257.456303
H16,186.773323,217.694704,248.924796
H17,192.096649,231.955004,251.206593
H18,184.252441,240.282234,259.920045
H19,185.425537,244.267244,268.580684
H20,180.554985,234.713715,249.671249
